"dow_number","day_of_week","calories"
0,"Sunday",2940
0,"Sunday",2685
0,"Sunday",3589
0,"Sunday",2534
0,"Sunday",1659
0,"Sunday",2712
0,"Sunday",2250
0,"Sunday",1819
0,"Sunday",1762
0,"Sunday",3287
0,"Sunday",2666
0,"Sunday",2423
0,"Sunday",3934
0,"Sunday",1792
0,"Sunday",3089
0,"Sunday",1633
0,"Sunday",2096
0,"Sunday",1821
0,"Sunday",1555
0,"Sunday",1848
0,"Sunday",2063
0,"Sunday",1347
0,"Sunday",2987
0,"Sunday",1427
0,"Sunday",1740
0,"Sunday",1962
0,"Sunday",2786
0,"Sunday",3545
0,"Sunday",1688
0,"Sunday",2439
0,"Sunday",2572
0,"Sunday",2112
0,"Sunday",3213
0,"Sunday",1629
0,"Sunday",2383
0,"Sunday",2027
0,"Sunday",2067
0,"Sunday",3171
0,"Sunday",2225
0,"Sunday",4552
0,"Sunday",1397
0,"Sunday",3394
0,"Sunday",2117
0,"Sunday",1728
0,"Sunday",1554
0,"Sunday",3011
0,"Sunday",1793
0,"Sunday",2063
0,"Sunday",2782
0,"Sunday",1214
0,"Sunday",1852
0,"Sunday",1882
0,"Sunday",1529
0,"Sunday",1964
0,"Sunday",1529
0,"Sunday",1990
0,"Sunday",1464
0,"Sunday",2572
0,"Sunday",1933
0,"Sunday",2324
0,"Sunday",1347
0,"Sunday",2413
0,"Sunday",1617
0,"Sunday",1788
0,"Sunday",1820
0,"Sunday",2690
0,"Sunday",2696
0,"Sunday",1541
0,"Sunday",2411
0,"Sunday",2380
0,"Sunday",1447
0,"Sunday",1403
0,"Sunday",1739
0,"Sunday",1237
0,"Sunday",1501
0,"Sunday",1980
0,"Sunday",1593
0,"Sunday",2926
0,"Sunday",2246
0,"Sunday",1692
0,"Sunday",2017
0,"Sunday",1747
0,"Sunday",4546
0,"Sunday",2361
0,"Sunday",3327
0,"Sunday",2319
0,"Sunday",1740
0,"Sunday",2225
0,"Sunday",2730
0,"Sunday",1886
0,"Sunday",3369
0,"Sunday",2596
0,"Sunday",1980
0,"Sunday",1880
0,"Sunday",2885
0,"Sunday",2247
0,"Sunday",2173
0,"Sunday",3538
0,"Sunday",2529
0,"Sunday",1507
0,"Sunday",4392
0,"Sunday",2305
0,"Sunday",2703
0,"Sunday",2053
0,"Sunday",1705
0,"Sunday",2667
0,"Sunday",2049
0,"Sunday",3577
0,"Sunday",1976
0,"Sunday",2741
0,"Sunday",2889
0,"Sunday",1799
0,"Sunday",3455
0,"Sunday",1401
0,"Sunday",1725
0,"Sunday",2187
0,"Sunday",1898
0,"Sunday",1921
0,"Sunday",1655
0,"Sunday",2847
0,"Sunday",1688
1,"Monday",2105
1,"Monday",2013
1,"Monday",1492
1,"Monday",2497
1,"Monday",1347
1,"Monday",2100
