"Id","sleepday","totalsleeprecords","totalminutesasleep","totaltimeinbed","default_date","day_number","dow_number","day_of_week","part_of_week","minutes_awake"
5577150313,"2016-04-18 00:00:00",1,527,553,"2016-04-18",18,1,"Monday","Weekday",26
1503960366,"2016-04-25 00:00:00",1,277,323,"2016-04-25",25,1,"Monday","Weekday",46
4319703577,"2016-05-09 00:00:00",1,535,565,"2016-05-09",9,1,"Monday","Weekday",30
6962181067,"2016-05-09 00:00:00",1,489,497,"2016-05-09",9,1,"Monday","Weekday",8
5553957443,"2016-05-09 00:00:00",1,453,494,"2016-05-09",9,1,"Monday","Weekday",41
2347167796,"2016-04-18 00:00:00",1,500,557,"2016-04-18",18,1,"Monday","Weekday",57
4388161847,"2016-05-09 00:00:00",1,62,65,"2016-05-09",9,1,"Monday","Weekday",3
6962181067,"2016-05-02 00:00:00",1,466,482,"2016-05-02",2,1,"Monday","Weekday",16
5553957443,"2016-05-02 00:00:00",1,409,471,"2016-05-02",2,1,"Monday","Weekday",62
7086361926,"2016-05-09 00:00:00",1,427,438,"2016-05-09",9,1,"Monday","Weekday",11
5553957443,"2016-04-25 00:00:00",1,433,468,"2016-04-25",25,1,"Monday","Weekday",35
2347167796,"2016-04-25 00:00:00",1,433,471,"2016-04-25",25,1,"Monday","Weekday",38
4319703577,"2016-04-25 00:00:00",1,488,506,"2016-04-25",25,1,"Monday","Weekday",18
1644430081,"2016-05-02 00:00:00",1,796,961,"2016-05-02",2,1,"Monday","Weekday",165
6962181067,"2016-04-25 00:00:00",1,400,415,"2016-04-25",25,1,"Monday","Weekday",15
5553957443,"2016-04-18 00:00:00",2,520,541,"2016-04-18",18,1,"Monday","Weekday",21
7086361926,"2016-05-02 00:00:00",1,440,459,"2016-05-02",2,1,"Monday","Weekday",19
6962181067,"2016-04-18 00:00:00",1,442,458,"2016-04-18",18,1,"Monday","Weekday",16
4388161847,"2016-05-02 00:00:00",2,368,376,"2016-05-02",2,1,"Monday","Weekday",8
2026352035,"2016-04-25 00:00:00",1,506,531,"2016-04-25",25,1,"Monday","Weekday",25
4702921684,"2016-05-09 00:00:00",1,435,458,"2016-05-09",9,1,"Monday","Weekday",23
7086361926,"2016-04-25 00:00:00",1,446,447,"2016-04-25",25,1,"Monday","Weekday",1
3977333714,"2016-04-18 00:00:00",2,412,522,"2016-04-18",18,1,"Monday","Weekday",110
6117666160,"2016-05-09 00:00:00",1,492,522,"2016-05-09",9,1,"Monday","Weekday",30
8378563200,"2016-05-02 00:00:00",1,351,385,"2016-05-02",2,1,"Monday","Weekday",34
8378563200,"2016-04-25 00:00:00",1,388,402,"2016-04-25",25,1,"Monday","Weekday",14
4702921684,"2016-04-25 00:00:00",1,370,380,"2016-04-25",25,1,"Monday","Weekday",10
6117666160,"2016-04-18 00:00:00",2,493,510,"2016-04-18",18,1,"Monday","Weekday",17
4702921684,"2016-04-18 00:00:00",1,293,312,"2016-04-18",18,1,"Monday","Weekday",19
3977333714,"2016-04-25 00:00:00",1,262,467,"2016-04-25",25,1,"Monday","Weekday",205
4319703577,"2016-05-02 00:00:00",1,478,506,"2016-05-02",2,1,"Monday","Weekday",28
2026352035,"2016-05-02 00:00:00",1,511,543,"2016-05-02",2,1,"Monday","Weekday",32
8792009665,"2016-05-02 00:00:00",1,415,423,"2016-05-02",2,1,"Monday","Weekday",8
4388161847,"2016-04-18 00:00:00",1,99,104,"2016-04-18",18,1,"Monday","Weekday",5
5577150313,"2016-05-02 00:00:00",2,525,553,"2016-05-02",2,1,"Monday","Weekday",28
4445114986,"2016-05-09 00:00:00",1,457,533,"2016-05-09",9,1,"Monday","Weekday",76
3977333714,"2016-05-02 00:00:00",1,230,384,"2016-05-02",2,1,"Monday","Weekday",154
8378563200,"2016-04-18 00:00:00",1,398,451,"2016-04-18",18,1,"Monday","Weekday",53
8378563200,"2016-04-25 00:00:00",1,388,402,"2016-04-25",25,1,"Monday","Weekday",14
5577150313,"2016-04-25 00:00:00",1,421,461,"2016-04-25",25,1,"Monday","Weekday",40
4445114986,"2016-05-02 00:00:00",1,502,542,"2016-05-02",2,1,"Monday","Weekday",40
2026352035,"2016-05-09 00:00:00",1,531,556,"2016-05-09",9,1,"Monday","Weekday",25
4445114986,"2016-04-25 00:00:00",1,328,345,"2016-04-25",25,1,"Monday","Weekday",17
4319703577,"2016-04-18 00:00:00",1,515,551,"2016-04-18",18,1,"Monday","Weekday",36
8378563200,"2016-05-09 00:00:00",1,359,399,"2016-05-09",9,1,"Monday","Weekday",40
1503960366,"2016-05-09 00:00:00",1,338,342,"2016-05-09",9,1,"Monday","Weekday",4
1503960366,"2016-05-02 00:00:00",1,277,309,"2016-05-02",2,1,"Monday","Weekday",32
8378563200,"2016-05-03 00:00:00",1,405,429,"2016-05-03",3,2,"Tuesday","Weekday",24
5553957443,"2016-04-12 00:00:00",1,441,464,"2016-04-12",12,2,"Tuesday","Weekday",23
4702921684,"2016-05-10 00:00:00",1,416,431,"2016-05-10",10,2,"Tuesday","Weekday",15
4702921684,"2016-05-03 00:00:00",1,327,373,"2016-05-03",3,2,"Tuesday","Weekday",46
3977333714,"2016-04-19 00:00:00",1,219,395,"2016-04-19",19,2,"Tuesday","Weekday",176
4702921684,"2016-04-26 00:00:00",1,421,429,"2016-04-26",26,2,"Tuesday","Weekday",8
4702921684,"2016-04-19 00:00:00",1,457,487,"2016-04-19",19,2,"Tuesday","Weekday",30
3977333714,"2016-04-26 00:00:00",1,250,371,"2016-04-26",26,2,"Tuesday","Weekday",121
8378563200,"2016-04-26 00:00:00",1,550,584,"2016-04-26",26,2,"Tuesday","Weekday",34
4702921684,"2016-04-12 00:00:00",1,425,439,"2016-04-12",12,2,"Tuesday","Weekday",14
4558609924,"2016-04-26 00:00:00",1,103,121,"2016-04-26",26,2,"Tuesday","Weekday",18
4445114986,"2016-05-10 00:00:00",1,405,426,"2016-05-10",10,2,"Tuesday","Weekday",21
3977333714,"2016-05-03 00:00:00",1,292,500,"2016-05-03",3,2,"Tuesday","Weekday",208
4445114986,"2016-05-03 00:00:00",2,417,450,"2016-05-03",3,2,"Tuesday","Weekday",33
4445114986,"2016-04-26 00:00:00",2,353,391,"2016-04-26",26,2,"Tuesday","Weekday",38
3977333714,"2016-05-10 00:00:00",1,312,452,"2016-05-10",10,2,"Tuesday","Weekday",140
4020332650,"2016-04-12 00:00:00",1,501,541,"2016-04-12",12,2,"Tuesday","Weekday",40
4445114986,"2016-04-19 00:00:00",2,388,424,"2016-04-19",19,2,"Tuesday","Weekday",36
4020332650,"2016-05-03 00:00:00",1,322,332,"2016-05-03",3,2,"Tuesday","Weekday",10
4445114986,"2016-04-12 00:00:00",2,429,457,"2016-04-12",12,2,"Tuesday","Weekday",28
4388161847,"2016-05-10 00:00:00",1,354,375,"2016-05-10",10,2,"Tuesday","Weekday",21
4020332650,"2016-05-10 00:00:00",1,442,494,"2016-05-10",10,2,"Tuesday","Weekday",52
4388161847,"2016-04-26 00:00:00",1,319,346,"2016-04-26",26,2,"Tuesday","Weekday",27
4388161847,"2016-04-19 00:00:00",1,329,338,"2016-04-19",19,2,"Tuesday","Weekday",9
4319703577,"2016-04-19 00:00:00",2,461,498,"2016-04-19",19,2,"Tuesday","Weekday",37
1503960366,"2016-05-03 00:00:00",1,273,296,"2016-05-03",3,2,"Tuesday","Weekday",23
4319703577,"2016-05-10 00:00:00",1,487,517,"2016-05-10",10,2,"Tuesday","Weekday",30
4319703577,"2016-05-03 00:00:00",1,474,512,"2016-05-03",3,2,"Tuesday","Weekday",38
4319703577,"2016-04-26 00:00:00",1,505,516,"2016-04-26",26,2,"Tuesday","Weekday",11
8378563200,"2016-04-19 00:00:00",1,387,421,"2016-04-19",19,2,"Tuesday","Weekday",34
8378563200,"2016-04-12 00:00:00",1,338,356,"2016-04-12",12,2,"Tuesday","Weekday",18
1503960366,"2016-05-10 00:00:00",1,383,403,"2016-05-10",10,2,"Tuesday","Weekday",20
8792009665,"2016-05-03 00:00:00",1,516,545,"2016-05-03",3,2,"Tuesday","Weekday",29
7086361926,"2016-05-03 00:00:00",1,456,461,"2016-05-03",3,2,"Tuesday","Weekday",5
7086361926,"2016-04-26 00:00:00",1,485,500,"2016-04-26",26,2,"Tuesday","Weekday",15
7086361926,"2016-04-19 00:00:00",1,472,483,"2016-04-19",19,2,"Tuesday","Weekday",11
1927972279,"2016-04-12 00:00:00",3,750,775,"2016-04-12",12,2,"Tuesday","Weekday",25
7086361926,"2016-04-12 00:00:00",1,514,525,"2016-04-12",12,2,"Tuesday","Weekday",11
1927972279,"2016-04-26 00:00:00",1,296,315,"2016-04-26",26,2,"Tuesday","Weekday",19
6962181067,"2016-05-10 00:00:00",1,469,481,"2016-05-10",10,2,"Tuesday","Weekday",12
2026352035,"2016-04-12 00:00:00",1,503,546,"2016-04-12",12,2,"Tuesday","Weekday",43
1503960366,"2016-04-19 00:00:00",1,304,320,"2016-04-19",19,2,"Tuesday","Weekday",16
6962181067,"2016-05-03 00:00:00",1,394,418,"2016-05-03",3,2,"Tuesday","Weekday",24
6962181067,"2016-04-26 00:00:00",1,441,446,"2016-04-26",26,2,"Tuesday","Weekday",5
2026352035,"2016-04-19 00:00:00",1,498,540,"2016-04-19",19,2,"Tuesday","Weekday",42
1503960366,"2016-04-12 00:00:00",1,327,346,"2016-04-12",12,2,"Tuesday","Weekday",19
6962181067,"2016-04-19 00:00:00",1,476,535,"2016-04-19",19,2,"Tuesday","Weekday",59
6962181067,"2016-04-12 00:00:00",1,366,387,"2016-04-12",12,2,"Tuesday","Weekday",21
8792009665,"2016-04-12 00:00:00",1,458,493,"2016-04-12",12,2,"Tuesday","Weekday",35
6117666160,"2016-04-19 00:00:00",1,465,492,"2016-04-19",19,2,"Tuesday","Weekday",27
5577150313,"2016-05-10 00:00:00",1,504,562,"2016-05-10",10,2,"Tuesday","Weekday",58
8378563200,"2016-05-10 00:00:00",1,342,391,"2016-05-10",10,2,"Tuesday","Weekday",49
5577150313,"2016-05-03 00:00:00",1,508,543,"2016-05-03",3,2,"Tuesday","Weekday",35
5577150313,"2016-04-26 00:00:00",1,354,377,"2016-04-26",26,2,"Tuesday","Weekday",23
2026352035,"2016-05-10 00:00:00",1,357,380,"2016-05-10",10,2,"Tuesday","Weekday",23
5577150313,"2016-04-19 00:00:00",1,449,465,"2016-04-19",19,2,"Tuesday","Weekday",16
5577150313,"2016-04-12 00:00:00",1,419,438,"2016-04-12",12,2,"Tuesday","Weekday",19
5553957443,"2016-05-10 00:00:00",1,418,443,"2016-05-10",10,2,"Tuesday","Weekday",25
2347167796,"2016-04-19 00:00:00",1,465,514,"2016-04-19",19,2,"Tuesday","Weekday",49
5553957443,"2016-05-03 00:00:00",1,380,429,"2016-05-03",3,2,"Tuesday","Weekday",49
5553957443,"2016-04-26 00:00:00",1,412,453,"2016-04-26",26,2,"Tuesday","Weekday",41
2347167796,"2016-04-26 00:00:00",1,436,490,"2016-04-26",26,2,"Tuesday","Weekday",54
1503960366,"2016-04-26 00:00:00",1,245,274,"2016-04-26",26,2,"Tuesday","Weekday",29
5553957443,"2016-04-19 00:00:00",1,357,410,"2016-04-19",19,2,"Tuesday","Weekday",53
3977333714,"2016-04-12 00:00:00",1,274,469,"2016-04-12",12,2,"Tuesday","Weekday",195
8792009665,"2016-05-04 00:00:00",1,439,463,"2016-05-04",4,3,"Wednesday","Weekday",24
1503960366,"2016-04-13 00:00:00",2,384,407,"2016-04-13",13,3,"Wednesday","Weekday",23
1503960366,"2016-04-20 00:00:00",1,360,377,"2016-04-20",20,3,"Wednesday","Weekday",17
1503960366,"2016-05-11 00:00:00",1,285,306,"2016-05-11",11,3,"Wednesday","Weekday",21
1927972279,"2016-04-13 00:00:00",1,398,422,"2016-04-13",13,3,"Wednesday","Weekday",24
2026352035,"2016-04-13 00:00:00",1,531,565,"2016-04-13",13,3,"Wednesday","Weekday",34
2026352035,"2016-04-20 00:00:00",1,461,510,"2016-04-20",20,3,"Wednesday","Weekday",49
2026352035,"2016-04-27 00:00:00",1,508,545,"2016-04-27",27,3,"Wednesday","Weekday",37
2026352035,"2016-05-04 00:00:00",1,538,560,"2016-05-04",4,3,"Wednesday","Weekday",22
2026352035,"2016-05-11 00:00:00",1,523,553,"2016-05-11",11,3,"Wednesday","Weekday",30
2347167796,"2016-04-13 00:00:00",1,467,531,"2016-04-13",13,3,"Wednesday","Weekday",64
2347167796,"2016-04-27 00:00:00",1,448,499,"2016-04-27",27,3,"Wednesday","Weekday",51
3977333714,"2016-04-13 00:00:00",2,295,456,"2016-04-13",13,3,"Wednesday","Weekday",161
3977333714,"2016-04-20 00:00:00",2,152,305,"2016-04-20",20,3,"Wednesday","Weekday",153
3977333714,"2016-04-27 00:00:00",1,349,540,"2016-04-27",27,3,"Wednesday","Weekday",191
3977333714,"2016-05-04 00:00:00",1,213,336,"2016-05-04",4,3,"Wednesday","Weekday",123
4020332650,"2016-05-04 00:00:00",1,478,536,"2016-05-04",4,3,"Wednesday","Weekday",58
4319703577,"2016-04-20 00:00:00",1,523,543,"2016-04-20",20,3,"Wednesday","Weekday",20
4319703577,"2016-04-27 00:00:00",1,286,307,"2016-04-27",27,3,"Wednesday","Weekday",21
4319703577,"2016-05-11 00:00:00",1,529,558,"2016-05-11",11,3,"Wednesday","Weekday",29
4388161847,"2016-04-20 00:00:00",1,421,451,"2016-04-20",20,3,"Wednesday","Weekday",30
4388161847,"2016-04-27 00:00:00",1,439,500,"2016-04-27",27,3,"Wednesday","Weekday",61
4388161847,"2016-05-04 00:00:00",1,390,414,"2016-05-04",4,3,"Wednesday","Weekday",24
4388161847,"2016-05-11 00:00:00",1,469,494,"2016-05-11",11,3,"Wednesday","Weekday",25
4445114986,"2016-04-13 00:00:00",2,370,406,"2016-04-13",13,3,"Wednesday","Weekday",36
4445114986,"2016-04-20 00:00:00",1,439,462,"2016-04-20",20,3,"Wednesday","Weekday",23
4445114986,"2016-04-27 00:00:00",1,332,374,"2016-04-27",27,3,"Wednesday","Weekday",42
4445114986,"2016-05-04 00:00:00",2,337,363,"2016-05-04",4,3,"Wednesday","Weekday",26
4445114986,"2016-05-11 00:00:00",1,499,530,"2016-05-11",11,3,"Wednesday","Weekday",31
4702921684,"2016-04-13 00:00:00",2,400,430,"2016-04-13",13,3,"Wednesday","Weekday",30
4702921684,"2016-04-20 00:00:00",1,454,468,"2016-04-20",20,3,"Wednesday","Weekday",14
4702921684,"2016-04-27 00:00:00",1,432,449,"2016-04-27",27,3,"Wednesday","Weekday",17
4702921684,"2016-05-04 00:00:00",1,412,434,"2016-05-04",4,3,"Wednesday","Weekday",22
4702921684,"2016-05-11 00:00:00",1,354,366,"2016-05-11",11,3,"Wednesday","Weekday",12
5553957443,"2016-04-13 00:00:00",2,455,488,"2016-04-13",13,3,"Wednesday","Weekday",33
5553957443,"2016-04-20 00:00:00",1,658,678,"2016-04-20",20,3,"Wednesday","Weekday",20
5553957443,"2016-04-27 00:00:00",1,347,391,"2016-04-27",27,3,"Wednesday","Weekday",44
5553957443,"2016-05-04 00:00:00",1,447,470,"2016-05-04",4,3,"Wednesday","Weekday",23
5553957443,"2016-05-11 00:00:00",1,463,486,"2016-05-11",11,3,"Wednesday","Weekday",23
5577150313,"2016-04-13 00:00:00",1,432,458,"2016-04-13",13,3,"Wednesday","Weekday",26
5577150313,"2016-04-20 00:00:00",1,447,480,"2016-04-20",20,3,"Wednesday","Weekday",33
5577150313,"2016-04-27 00:00:00",1,424,452,"2016-04-27",27,3,"Wednesday","Weekday",28
