"part_of_week","day_of_week","time_of_day","all_calories","all_avg_calories","all_intensity","all_avg_intensity","all_average_intensity","all_avg_average_intensity","all_average_max_intensity","all_average_min_intensity","dow_number","total_intensity_first_decile","total_intensity_second_decile","total_intensity_third_decile","total_intensity_fourth_decile","total_intensity_fifth_decile","total_intensity_sixth_decile","total_intensity_seventh_decile","total_intensity_eighth_decile","total_intensity_ninth_decile"
"Weekday","Monday","Morning",57600290,1800009.062500000000,8969324,280291.375000000000,149488.73712700568,4671.523035218927,1.1067709062500002,0.023437468750000003,1,62679.6,84693.6,131586.29999999996,190568.4,221241,282461.9999999999,346662.1,453446,636640.0000000001
"Weekday","Monday","Afternoon",48909482,1528421.312500000000,9336632,291769.750000000000,155610.54158599724,4862.829424562414,1.2057291875,0.01875003125,1,71227.2,103311,167301.9,207206.40000000002,255034,322867.79999999993,367812.89999999997,467430.4,551571.6000000001
"Weekday","Monday","Evening",24303987,759499.593750000000,4121560,128798.750000000000,68692.66925699954,2146.6459142812355,0.8145833437500001,0.026562500000000003,1,11107.2,39721.600000000006,56646.799999999996,72656.4,82685,129740.79999999999,162858,203580,324606.3000000002
"Weekday","Monday","Night",65626242,2050820.062500000000,1885212,58912.875000000000,31420.205688000206,981.8814277500064,0.40260412500000003,0,1,778.8000000000001,8877.6,10894.399999999998,21079.2,24279,42213.59999999999,52298.4,83688.00000000001,135901.50000000006
"Weekday","Tuesday","Morning",71377173,2162944.636363636364,11110844,336692.242424242424,185180.73761899763,5611.537503605989,1.1494950909090909,0.009090939393939394,2,75912,137762.4,141676,189792,259808,270998,390867,641766,796221.6000000001
"Weekday","Tuesday","Afternoon",61180434,1853952.545454545455,11858595,359351.363636363636,197643.25270000336,5989.189475757677,1.0909090606060607,0.015656606060606062,2,97241.6,171134,209976.4,281275.6,306495,360549.6,409900.8,533284.8,639634.4
"Weekday","Tuesday","Evening",30590217,926976.272727272727,5197884,157511.636363636364,86631.39800100095,2625.1938788182106,0.8535353333333333,0.04141421212121212,2,27060.000000000004,56406.4,77628,98144.40000000001,120945,127302,208886.99999999997,229254,316592.80000000005
"Weekday","Tuesday","Night",81573912,2471936.727272727273,3103945,94058.939393939394,51732.4325239996,1567.6494704242305,0.5843434848484849,0,2,4158.4000000000015,22792,28263.4,31984,43310,59788.79999999999,101067.59999999998,170324.40000000002,192812.4
"Weekday","Wednesday","Morning",70875118,2147730.848484848485,9760063,295759.484848484848,162667.71203200295,4929.324607030392,1.061616090909091,0.008585848484848486,3,60556.600000000006,115584.6,148852.8,178045.2,225216,260793.59999999998,327991.19999999995,536991.8000000002,644620.8
"Weekday","Wednesday","Afternoon",59798976,1812090.181818181818,12200205,369703.181818181818,203336.75725999914,6161.7199169696705,1.2924242727272726,0.024747515151515156,3,101635.20000000001,154898.4,240100.8,263130,343200,347468.8,464069.99999999994,557740,678418.4000000001
"Weekday","Wednesday","Evening",29843201,904339.424242424242,4606458,139589.636363636364,76774.30469799903,2326.4940817575466,0.8494949090909092,0.018181848484848485,3,21557.600000000002,57441.200000000004,71219.2,96807.2,127440,151440,179569.19999999998,201340.80000000002,222468
"Weekday","Wednesday","Night",80570236,2441522.303030303030,2399167,72702.030303030303,39986.13124600045,1211.7009468484985,0.5025252121212122,0,3,1511.2000000000007,18974.4,25798.8,30300.4,41724,59974.39999999999,84895.79999999999,113836.80000000002,153762
"Weekday","Thursday","Morning",67791381,2054284.272727272727,10424171,315883.969696969697,173736.19310500292,5264.733124394028,1.0343434848484847,0.010606060606060607,4,44997.6,88015.2,161142,209404.60000000003,260967,307185.8,364386,612726.4,697418.4
"Weekday","Thursday","Afternoon",52975456,1605316.848484848485,10372446,314316.545454545455,172874.09818699912,5238.60903596967,1.0464646969696971,0.020202030303030305,4,100519.20000000001,149580,208880,242802.2,280488,319130.8,376125.6,505337.60000000015,626000.8
"Weekday","Thursday","Evening",25427769,770538.454545454545,4278471,129650.636363636364,71307.85233799997,2160.8440102424233,0.8101010000000001,0.01767681818181818,4,31326.4,71119.20000000001,79850.4,88750.4,102312,114838.4,136300.79999999996,181919.4,255036.2
"Weekday","Thursday","Night",75812880,2297360.000000000000,2270068,68789.939393939394,37834.48306500131,1146.4994868182216,0.5424242121212122,0,4,736.0000000000007,13344,24438.399999999998,35785.6,44896,59372.79999999999,79337.99999999999,103124.8,133917
"Weekday","Friday","Morning",59074358,1790132.060606060606,8770926,265785.636363636364,146182.10517500277,4429.760762878872,1.045454606060606,0.011111181818181819,5,42717.6,113601.6,133260.6,169917.60000000003,189114,255479.59999999998,299501.99999999994,498018,599776.8
"Weekday","Friday","Afternoon",50611617,1533685.363636363636,9497950,287816.666666666667,158299.16782999842,4796.944479696922,1.0000000303030305,0.02121218181818182,5,55617.600000000006,95917.20000000001,203762.4,235102.8,255252,294813.6,370796.8,453422.80000000005,524927.2000000001
"Weekday","Friday","Evening",25294035,790438.593750000000,4504081,140752.531250000000,75068.0138440002,2345.8754326250064,0.9463541875000001,0.012500031249999998,5,57096.5,67357.6,76600.79999999999,96710.4,116004,133952,161346.59999999998,206032.00000000003,270130.50000000006
"Weekday","Friday","Night",67684416,2051042.909090909091,2519032,76334.303030303030,41983.87767499895,1272.2387174242106,0.5469696666666667,0,5,8795.2,19086,34825.6,43752,47840,71665.8,80052.79999999999,107100.80000000002,173166
"Weekend","Sunday","Morning",57930971,1810342.843750000000,7597589,237424.656250000000,126626.48560199437,3957.077675062324,0.99010415625,0.003125,0,69805.2,88393.2,110431.2,138986.8,152727.5,234483.9999999998,303271.5,318328,514388.3000000002
"Weekend","Sunday","Afternoon",49539351,1548104.718750000000,9386819,293338.093750000000,156446.97425300608,4888.96794540644,1.1973957812499998,0.015625,0,79751.4,107194.40000000001,150473.19999999995,237462,287926,318335.99999999994,372889.29999999993,445516.8,553718.5000000001
"Weekend","Sunday","Evening",24711792,772243.500000000000,3523669,110114.656250000000,58727.81380100019,1835.244181281256,0.7968749999999998,0.025000000000000005,0,14248.6,32086.200000000004,49943.4,64703.6,76362,109192.79999999999,122205.59999999999,166551.00000000003,251544.20000000013
"Weekend","Sunday","Night",66129646,2066551.437500000000,1708784,53399.500000000000,28479.748241000696,889.9921325312717,0.3984375625,0,0,41.400000000000034,7934.8,12455.199999999997,15787.2,27520.5,44133.599999999984,78904,95757,130320.40000000001
"Weekend","Saturday","Morning",58153175,1817286.718750000000,9167401,286481.281250000000,152790.0276030011,4774.688362593784,1.2374999999999998,0,6,90528,117422.4,163015.59999999998,215746.8,259939,280293.39999999997,317591.6,447270.4,595576.5
"Weekend","Saturday","Afternoon",49655118,1551722.437500000000,10695182,334224.437500000000,178253.03323100117,5570.407288468787,1.29010403125,0.01145834375,6,90449.1,144301.6,219163.5,249692.80000000002,278302,385559.9999999999,413051.1,520237.80000000005,548248.9
