"dow_number","part_of_week","day_of_week","time_of_day","total_intensity_first_decile","total_intensity_second_decile","total_intensity_third_decile","total_intensity_fourth_decile","total_intensity_fifth_decile","total_intensity_sixth_decile","total_intensity_seventh_decile","total_intensity_eighth_decile","total_intensity_ninth_decile"
0,"Weekend","Sunday","Afternoon",79751.4,107194.40000000001,150473.19999999995,237462,287926,318335.99999999994,372889.29999999993,445516.8,553718.5000000001
0,"Weekend","Sunday","Evening",14248.6,32086.200000000004,49943.4,64703.6,76362,109192.79999999999,122205.59999999999,166551.00000000003,251544.20000000013
0,"Weekend","Sunday","Morning",69805.2,88393.2,110431.2,138986.8,152727.5,234483.9999999998,303271.5,318328,514388.3000000002
0,"Weekend","Sunday","Night",41.400000000000034,7934.8,12455.199999999997,15787.2,27520.5,44133.599999999984,78904,95757,130320.40000000001
1,"Weekday","Monday","Afternoon",71227.2,103311,167301.9,207206.40000000002,255034,322867.79999999993,367812.89999999997,467430.4,551571.6000000001
1,"Weekday","Monday","Evening",11107.2,39721.600000000006,56646.799999999996,72656.4,82685,129740.79999999999,162858,203580,324606.3000000002
1,"Weekday","Monday","Morning",62679.6,84693.6,131586.29999999996,190568.4,221241,282461.9999999999,346662.1,453446,636640.0000000001
1,"Weekday","Monday","Night",778.8000000000001,8877.6,10894.399999999998,21079.2,24279,42213.59999999999,52298.4,83688.00000000001,135901.50000000006
2,"Weekday","Tuesday","Afternoon",97241.6,171134,209976.4,281275.6,306495,360549.6,409900.8,533284.8,639634.4
2,"Weekday","Tuesday","Evening",27060.000000000004,56406.4,77628,98144.40000000001,120945,127302,208886.99999999997,229254,316592.80000000005
2,"Weekday","Tuesday","Morning",75912,137762.4,141676,189792,259808,270998,390867,641766,796221.6000000001
2,"Weekday","Tuesday","Night",4158.4000000000015,22792,28263.4,31984,43310,59788.79999999999,101067.59999999998,170324.40000000002,192812.4
3,"Weekday","Wednesday","Afternoon",101635.20000000001,154898.4,240100.8,263130,343200,347468.8,464069.99999999994,557740,678418.4000000001
3,"Weekday","Wednesday","Evening",21557.600000000002,57441.200000000004,71219.2,96807.2,127440,151440,179569.19999999998,201340.80000000002,222468
3,"Weekday","Wednesday","Morning",60556.600000000006,115584.6,148852.8,178045.2,225216,260793.59999999998,327991.19999999995,536991.8000000002,644620.8
3,"Weekday","Wednesday","Night",1511.2000000000007,18974.4,25798.8,30300.4,41724,59974.39999999999,84895.79999999999,113836.80000000002,153762
4,"Weekday","Thursday","Afternoon",100519.20000000001,149580,208880,242802.2,280488,319130.8,376125.6,505337.60000000015,626000.8
4,"Weekday","Thursday","Evening",31326.4,71119.20000000001,79850.4,88750.4,102312,114838.4,136300.79999999996,181919.4,255036.2
4,"Weekday","Thursday","Morning",44997.6,88015.2,161142,209404.60000000003,260967,307185.8,364386,612726.4,697418.4
4,"Weekday","Thursday","Night",736.0000000000007,13344,24438.399999999998,35785.6,44896,59372.79999999999,79337.99999999999,103124.8,133917
5,"Weekday","Friday","Afternoon",55617.600000000006,95917.20000000001,203762.4,235102.8,255252,294813.6,370796.8,453422.80000000005,524927.2000000001
5,"Weekday","Friday","Evening",57096.5,67357.6,76600.79999999999,96710.4,116004,133952,161346.59999999998,206032.00000000003,270130.50000000006
5,"Weekday","Friday","Morning",42717.6,113601.6,133260.6,169917.60000000003,189114,255479.59999999998,299501.99999999994,498018,599776.8
5,"Weekday","Friday","Night",8795.2,19086,34825.6,43752,47840,71665.8,80052.79999999999,107100.80000000002,173166
6,"Weekend","Saturday","Afternoon",90449.1,144301.6,219163.5,249692.80000000002,278302,385559.9999999999,413051.1,520237.80000000005,548248.9
6,"Weekend","Saturday","Evening",22226.7,63500,71385.59999999999,88194,124709.5,145740.4,159894,186744.00000000003,204195.6
6,"Weekend","Saturday","Morning",90528,117422.4,163015.59999999998,215746.8,259939,280293.39999999997,317591.6,447270.4,595576.5
6,"Weekend","Saturday","Night",6147.200000000001,19028,23727.2,37926,51532,75116.79999999999,89562.4,114219,174079.60000000003
