"Id","sleepday","totalsleeprecords","totalminutesasleep","totaltimeinbed","default_date","dow_number","day_of_week","part_of_week","minutes_awake"
1503960366,"2016-04-12 00:00:00",1,327,346,"2016-04-12",2,"Tuesday","Weekday",19
1503960366,"2016-04-13 00:00:00",2,384,407,"2016-04-13",3,"Wednesday","Weekday",23
1503960366,"2016-04-15 00:00:00",1,412,442,"2016-04-15",5,"Friday","Weekday",30
1503960366,"2016-04-16 00:00:00",2,340,367,"2016-04-16",6,"Saturday","Weekend",27
1503960366,"2016-04-17 00:00:00",1,700,712,"2016-04-17",0,"Sunday","Weekend",12
1503960366,"2016-04-19 00:00:00",1,304,320,"2016-04-19",2,"Tuesday","Weekday",16
1503960366,"2016-04-20 00:00:00",1,360,377,"2016-04-20",3,"Wednesday","Weekday",17
1503960366,"2016-04-21 00:00:00",1,325,364,"2016-04-21",4,"Thursday","Weekday",39
1503960366,"2016-04-23 00:00:00",1,361,384,"2016-04-23",6,"Saturday","Weekend",23
1503960366,"2016-04-24 00:00:00",1,430,449,"2016-04-24",0,"Sunday","Weekend",19
1503960366,"2016-04-25 00:00:00",1,277,323,"2016-04-25",1,"Monday","Weekday",46
1503960366,"2016-04-26 00:00:00",1,245,274,"2016-04-26",2,"Tuesday","Weekday",29
1503960366,"2016-04-28 00:00:00",1,366,393,"2016-04-28",4,"Thursday","Weekday",27
1503960366,"2016-04-29 00:00:00",1,341,354,"2016-04-29",5,"Friday","Weekday",13
1503960366,"2016-04-30 00:00:00",1,404,425,"2016-04-30",6,"Saturday","Weekend",21
1503960366,"2016-05-01 00:00:00",1,369,396,"2016-05-01",0,"Sunday","Weekend",27
1503960366,"2016-05-02 00:00:00",1,277,309,"2016-05-02",1,"Monday","Weekday",32
1503960366,"2016-05-03 00:00:00",1,273,296,"2016-05-03",2,"Tuesday","Weekday",23
1503960366,"2016-05-05 00:00:00",1,247,264,"2016-05-05",4,"Thursday","Weekday",17
1503960366,"2016-05-06 00:00:00",1,334,367,"2016-05-06",5,"Friday","Weekday",33
1503960366,"2016-05-07 00:00:00",1,331,349,"2016-05-07",6,"Saturday","Weekend",18
1503960366,"2016-05-08 00:00:00",1,594,611,"2016-05-08",0,"Sunday","Weekend",17
1503960366,"2016-05-09 00:00:00",1,338,342,"2016-05-09",1,"Monday","Weekday",4
1503960366,"2016-05-10 00:00:00",1,383,403,"2016-05-10",2,"Tuesday","Weekday",20
1503960366,"2016-05-11 00:00:00",1,285,306,"2016-05-11",3,"Wednesday","Weekday",21
1644430081,"2016-04-29 00:00:00",1,119,127,"2016-04-29",5,"Friday","Weekday",8
1644430081,"2016-04-30 00:00:00",1,124,142,"2016-04-30",6,"Saturday","Weekend",18
1644430081,"2016-05-02 00:00:00",1,796,961,"2016-05-02",1,"Monday","Weekday",165
1644430081,"2016-05-08 00:00:00",1,137,154,"2016-05-08",0,"Sunday","Weekend",17
1844505072,"2016-04-15 00:00:00",1,644,961,"2016-04-15",5,"Friday","Weekday",317
1844505072,"2016-04-30 00:00:00",1,722,961,"2016-04-30",6,"Saturday","Weekend",239
1844505072,"2016-05-01 00:00:00",1,590,961,"2016-05-01",0,"Sunday","Weekend",371
1927972279,"2016-04-12 00:00:00",3,750,775,"2016-04-12",2,"Tuesday","Weekday",25
1927972279,"2016-04-13 00:00:00",1,398,422,"2016-04-13",3,"Wednesday","Weekday",24
1927972279,"2016-04-15 00:00:00",2,475,499,"2016-04-15",5,"Friday","Weekday",24
1927972279,"2016-04-26 00:00:00",1,296,315,"2016-04-26",2,"Tuesday","Weekday",19
1927972279,"2016-04-28 00:00:00",1,166,178,"2016-04-28",4,"Thursday","Weekday",12
2026352035,"2016-04-12 00:00:00",1,503,546,"2016-04-12",2,"Tuesday","Weekday",43
2026352035,"2016-04-13 00:00:00",1,531,565,"2016-04-13",3,"Wednesday","Weekday",34
2026352035,"2016-04-14 00:00:00",1,545,568,"2016-04-14",4,"Thursday","Weekday",23
2026352035,"2016-04-15 00:00:00",1,523,573,"2016-04-15",5,"Friday","Weekday",50
2026352035,"2016-04-16 00:00:00",1,524,567,"2016-04-16",6,"Saturday","Weekend",43
2026352035,"2016-04-17 00:00:00",1,437,498,"2016-04-17",0,"Sunday","Weekend",61
2026352035,"2016-04-19 00:00:00",1,498,540,"2016-04-19",2,"Tuesday","Weekday",42
2026352035,"2016-04-20 00:00:00",1,461,510,"2016-04-20",3,"Wednesday","Weekday",49
2026352035,"2016-04-21 00:00:00",1,477,514,"2016-04-21",4,"Thursday","Weekday",37
2026352035,"2016-04-22 00:00:00",1,520,545,"2016-04-22",5,"Friday","Weekday",25
2026352035,"2016-04-23 00:00:00",1,522,554,"2016-04-23",6,"Saturday","Weekend",32
2026352035,"2016-04-24 00:00:00",1,555,591,"2016-04-24",0,"Sunday","Weekend",36
2026352035,"2016-04-25 00:00:00",1,506,531,"2016-04-25",1,"Monday","Weekday",25
2026352035,"2016-04-27 00:00:00",1,508,545,"2016-04-27",3,"Wednesday","Weekday",37
2026352035,"2016-04-28 00:00:00",1,513,545,"2016-04-28",4,"Thursday","Weekday",32
