"week_number","Id","weekly_total_steps","weekly_total_distance","weekly_veryactive_d","weekly_fairlyactive_d","weekly_lightactive_d","weekly_sedentary_d","weekly_veryactive_m","weekly_fairlyactive_m","weekly_lightactive_m","weekly_sedentary_m","weekly_calories","weekly_active_m","weekly_notactive_m"
15,1503960366,66493,43.12999963760375,13.930000305175778,4.089999973773958,25.059999942779537,0,179,107,1320,4760,10894,286,6080
15,1624580081,37332,24.310000181198117,1.02999997138977,1.51999998092651,21.72000002861022,0.01999999955296516,15,22,929,7674,8776,37,8603
15,1644430081,59052,42.930000305175795,9.349999889731409,8.3599998652935,25.16000008583068,0,120,184,1211,7125,18581,304,8336
15,1844505072,31346,20.72999978065491,0.140000000596046,0.259999990463257,20.30999970436097,0,2,8,1482,6187,11195,10,7669
15,1927972279,4177,2.900000005960464,0,0.400000005960464,2.500000029802324,0,0,9,226,6833,13102,9,7059
15,2022484408,70835,50.859999656677275,17.74000000953674,2.6000000163912778,30.54000067710877,0,213,71,1540,6816,14787,284,8356
15,2026352035,19948,12.379999756813044,0.189999997615814,0.349999994039536,11.819999814033505,0,3,8,1014,4490,8442,11,5504
15,2320127002,38433,26.16999983787536,1.16999995708466,0.310000002384186,24.68000030517578,0,13,9,1521,7097,11200,22,8618
15,2347167796,68775,46.15999984741216,9.279999773949388,11.099999934434894,25.76999998092652,0,116,196,1522,4541,13077,312,6063
15,2873212765,45015,30.39999985694886,3.219999894499784,1.5199999995529652,25.620000481605537,0.039999999105930356,49,38,2004,6549,11619,87,8553
15,3372868164,45861,31.59000039100647,2.739999979734422,1.469999976456165,27.269999980926514,0.09999999776482585,33,35,2034,6538,11726,68,8572
15,3977333714,59416,39.829999923706055,9.189999818801873,12.110000073909763,18.52999997138978,0,137,271,1039,4239,9000,408,5278
15,4020332650,12527,8.979999864473944,0.8099999874830239,0.970000013709069,7.079999782145021,0,105,54,478,7548,15638,159,8026
15,4057192912,15352,11.45000004768372,0.209999993443489,0.259999990463257,10.75,0,3,6,412,4869,7895,9,5281
15,4319703577,36604,24.579999942332506,0.639999970793725,0.9199999868869779,14.750000018626444,0,9,24,860,6102,11885,33,6962
15,4388161847,49976,38.42000007629395,0.3999999873340125,2.100000053644182,24.25999975204468,0,17,58,1122,5827,17756,75,6949
15,4445114986,23622,15.860000133514399,0,0,15.860000133514399,0,0,0,1310,4990,13011,0,6300
15,4558609924,41630,27.540000200271596,2.930000007152554,3.16999995708466,21.4299999475479,0,51,68,1598,6923,11788,119,8521
15,4702921684,52288,42.42999982833859,1.269999973475933,5.130000025033948,36.00999975204468,0,16,98,1685,4204,18447,114,5889
15,5553957443,56432,36.909999787807436,9.529999852180481,5.220000088214882,22.150000035762787,0,138,92,1332,4260,11550,230,5592
15,5577150313,60395,45.17000007629393,23.789999783039104,4.61999997496605,16.73999977111817,0,718,204,976,3858,22809,922,4834
15,6117666160,35619,26.90000009536743,0.579999983310699,1.130000025033951,25.17999982833866,0,7,21,1343,6445,12406,28,7788
